first_name,last_name,state,district,gender,population,num_uninsured,num_deaths,medicaid_expansion_state,swing_left_district,freedom_caucus_member,percent_vote_2016,percent_vote_clinton,percent_vote_trump,president_vote_margin,twitter_link,facebook_link,twitter_handle,phone_number,pre_exist_prem,,Junior Senator Name,Senior Senator Name,Quotes on AHCA/Health Care (link out to page),Local stories (link out to page),Local groups (link out to page),Anecdotes (link out to page),,,
Don,Young,AK,1,M,"722,718","62,500",592,Y,Y,N,50.3,37.6,52.8,-15.2,https://twitter.com/repdonyoung,https://www.facebook.com/RepDonYoung/,repdonyoung,202-225-5765,38676,,,,,,,,5218,343000,
Robert,Aderholt,AL,4,M,682029,71200,675,N,N,N,98.5,17.4,80.4,-63.0,https://twitter.com/robert_aderholt?lang=en,https://www.facebook.com/RobertAderholt/,robert_aderholt,202-225-4876,22822,,,,,,,,,,
Mo,Brooks,AL,5,M,691438,67100,636,N,N,Y,66.7,31.3,64.7,-33.4,https://twitter.com/RepMoBrooks,https://www.facebook.com/RepMoBrooks/,RepMoBrooks,202-225-4801,22822,,,,,,,,,,
Bradley,Byrne,AL,1,M,706302,76200,722,N,N,N,96.4,34.1,63.5,-29.4,https://twitter.com/RepByrne,https://www.facebook.com/RepByrne,RepByrne,202-225-4931,22822,,,,,,,,,,
Gary,Palmer,AL,6,M,687709,56700,537,N,N,Y,74.5,26.1,70.8,-44.7,https://twitter.com/USRepGaryPalmer,https://www.facebook.com/CongressmanGaryPalmer/,USRepGaryPalmer,202-225-4921,22822,,,,,,,,,,
Martha,Roby,AL,2,F,678860,66600,631,N,Y,N,48.8,33.0,64.9,-31.9,https://twitter.com/RepMarthaRoby,https://www.facebook.com/Representative.Martha.Roby/,RepMarthaRoby,202-225-2901,22822,,,,,,,,,,
Mike,Rogers,AL,3,M,683095,69000,654,N,N,N,66.9,32.3,65.3,-33.0,https://twitter.com/repmikerogers?lang=en,https://www.facebook.com/MikeRogersforCongress/,repmikerogers,202-225-3261,22822,,,,,,,,3636,272500,
Rick,Crawford,AR,1,M,729510,48100,456,Y,N,N,76.3,30.2,65.0,-34.8,https://twitter.com/RepRickCrawford,https://www.facebook.com/RepRickCrawford/,RepRickCrawford,202-225-4076,19451,,,,,,,,,,
French,Hill,AR,2,M,739092,40500,384,Y,N,N,58.3,41.7,52.4,-10.7,https://twitter.com/RepFrenchHill,https://www.facebook.com/RepFrenchHill/,RepFrenchHill,202-225-2506,19451,,,,,,,,,,
Bruce,Westerman,AR,4,M,736183,46000,436,Y,N,N,74.9,31.3,64.2,-32.9,https://twitter.com/RepWesterman,https://www.facebook.com/RepWesterman/,RepWesterman,202-225-3772,19451,,,,,,,,,,
