,first_name,last_name,middle_name,state_name,district,gender,bioguide_id,state,party,ahca
AK-0,Don,Young,E.,Alaska,0,M,Y000033,AK,R,Yea
AL-1,Bradley,Byrne,,Alabama,1,M,B001289,AL,R,Yea
AL-2,Martha,Roby,,Alabama,2,F,R000591,AL,R,Yea
AL-3,Mike,Rogers,,Alabama,3,M,R000575,AL,R,Yea
AL-4,Robert,Aderholt,B.,Alabama,4,M,A000055,AL,R,Yea
AL-5,Mo,Brooks,,Alabama,5,M,B001274,AL,R,Yea
AL-6,Gary,Palmer,,Alabama,6,M,P000609,AL,R,Yea
AL-7,Terri,Sewell,A.,Alabama,7,F,S001185,AL,D,Nay
AR-1,Eric,Crawford,A.,Arkansas,1,M,C001087,AR,R,Yea
AR-2,French,Hill,,Arkansas,2,M,H001072,AR,R,Yea
AR-3,Steve,Womack,,Arkansas,3,M,W000809,AR,R,Yea
AR-4,Bruce,Westerman,,Arkansas,4,M,W000821,AR,R,Yea
AS-0,Aumua,Amata,,American Samoa,0,F,R000600,AS,R,
AZ-1,Tom,O'Halleran,,Arizona,1,M,O000171,AZ,D,Nay
AZ-2,Martha,McSally,,Arizona,2,F,M001197,AZ,R,Yea
AZ-3,Raúl,Grijalva,M.,Arizona,3,M,G000551,AZ,D,Nay
AZ-4,Paul,Gosar,A.,Arizona,4,M,G000565,AZ,R,Yea
AZ-5,Andy,Biggs,,Arizona,5,M,B001302,AZ,R,Nay
AZ-6,David,Schweikert,,Arizona,6,M,S001183,AZ,R,Yea
AZ-7,Ruben,Gallego,,Arizona,7,M,G000574,AZ,D,Nay
AZ-8,Trent,Franks,,Arizona,8,M,F000448,AZ,R,Yea
AZ-9,Kyrsten,Sinema,,Arizona,9,F,S001191,AZ,D,Nay
CA-1,Doug,LaMalfa,,California,1,M,L000578,CA,R,Yea
CA-10,Jeff,Denham,,California,10,M,D000612,CA,R,Yea
CA-11,Mark,DeSaulnier,,California,11,M,D000623,CA,D,Nay
CA-12,Nancy,Pelosi,,California,12,F,P000197,CA,D,Nay
CA-13,Barbara,Lee,,California,13,F,L000551,CA,D,Nay
CA-14,Jackie,Speier,,California,14,F,S001175,CA,D,Nay
CA-15,Eric,Swalwell,,California,15,M,S001193,CA,D,Nay
CA-16,Jim,Costa,,California,16,M,C001059,CA,D,Nay
